Course Code,Course Title,Credits
HS 741,Black Literary Cultures and the Slave,3
HS 742,Twentieth Century and the European Novel,3
HS 6XX,Postcolonial Literatures,3
HS 6XX,Language and Cognition,3
HS 6XX,Translation Theory and Praxis,3
HS 6XX,Language Documentation,3
