Course Code,Course Title,Credits
HS 634,Foundations of Literary Theory,3
HS 743,Indian English Fiction,3
HS 614,Language and Culture,3
HS 620,"Syntax, Semantics and Pragmatics",3
HS 632,Research Methodology: Theory and Praxis,3
HS 692,M.A. Dissertation- II,5
,Total credits earned during the semester,20
