Course Code,Course Title,Credits
HSS 6XX,Indian Grammatical Tradition,3
HS 655/HS 455,Digital Humanities,3
HS 744,South Asian Diaspora Literature,3
HS 656,Applied Linguistics,3
HS 6XX,The Culture of Food,3
HS 6XX,Nineteenth-Century Science and Literature,3
